"id","TransOutE","Lon1","Lat1","LonLat1","BusinessE","Lon2","Lat2","LonLat2","LineLonLat","HWName","HWcode","TransferV","ActualReceiveV","TransferDate","ReceiptDate"
"222","石家庄钢铁有限责任公司特殊钢分公司","114.565246","38.055819","114.565246,38.055819","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","[114.565246,38.055819],[113.298350,40.780466]","电炉除尘灰","312-001-23","33.95","33.95","NULL","NULL"
"223","石家庄钢铁有限责任公司特殊钢分公司","114.565246","38.055819","114.565246,38.055819","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","[114.565246,38.055819],[113.298350,40.780466]","电炉除尘灰","312-001-23","32.95","32.95","NULL","NULL"
"224","石家庄钢铁有限责任公司特殊钢分公司","114.565246","38.055819","114.565246,38.055819","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","[114.565246,38.055819],[113.298350,40.780466]","电炉除尘灰","312-001-23","33.5","33.5","NULL","NULL"
"225","石家庄钢铁有限责任公司特殊钢分公司","114.565246","38.055819","114.565246,38.055819","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","[114.565246,38.055819],[113.298350,40.780466]","电炉除尘灰","312-001-23","34.9","34.9","NULL","NULL"
"226","石家庄佳硕废铅蓄电池回收有限公司","115.219928","38.182801","115.219928,38.182801","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","[115.219928,38.182801],[112.477247,35.093538]","废旧铅酸蓄电池","900-052-31","33.565","33.565","NULL","NULL"
"227","石家庄市庆海物资再生利用有限公司","114.594458","38.075727","114.594458,38.075727","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","[114.594458,38.075727],[112.477247,35.093538]","废铅蓄电池","900-052-31","33.98","33.98","NULL","NULL"
"228","石家庄市庆海物资再生利用有限公司","114.594458","38.075727","114.594458,38.075727","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","[114.594458,38.075727],[112.477247,35.093538]","废铅蓄电池","900-052-31","33.23","33.23","NULL","NULL"
"229","石家庄佳硕废铅蓄电池回收有限公司","115.219928","38.182801","115.219928,38.182801","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","[115.219928,38.182801],[112.477247,35.093538]","废旧铅酸蓄电池","900-052-31","33.67","33.67","NULL","NULL"
"230","石家庄佳硕废铅蓄电池回收有限公司","115.219928","38.182801","115.219928,38.182801","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","[115.219928,38.182801],[112.477247,35.093538]","废旧铅酸蓄电池","900-052-31","34.325","34.325","NULL","NULL"
"231","石家庄佳硕废铅蓄电池回收有限公司","115.219928","38.182801","115.219928,38.182801","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","[115.219928,38.182801],[112.477247,35.093538]","废旧铅酸蓄电池","900-052-31","34.075","34.075","NULL","NULL"
