"id","BusinessE","Lon2","Lat2","LonLat2","HWName","HWcode","TransferV","ActualReceiveV","TransferDate","ReceiptDate"
"245","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.7","33.7","NULL","NULL"
"246","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废铅蓄电池","900-052-31","33.33","33.33","NULL","NULL"
"247","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","废旧铅酸蓄电池","900-052-31","34.345","34.345","NULL","NULL"
"248","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废旧铅酸蓄电池","900-052-31","34.055","34.055","NULL","NULL"
"249","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废旧铅酸蓄电池","900-052-31","34.135","34.135","NULL","NULL"
"250","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废旧铅酸蓄电池","900-052-31","34.115","34.115","NULL","NULL"
"251","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废旧铅酸蓄电池","900-052-31","34.17","NULL","NULL","NULL"
"252","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","废铅蓄电池","900-052-31","34.06","34.06","NULL","NULL"
"253","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.65","33.65","NULL","NULL"
"254","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","34.4","34.4","NULL","NULL"
"255","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","34.4","NULL","NULL","NULL"
"256","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.65","NULL","NULL","NULL"
"257","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废铅蓄电池","900-052-31","33.89","33.89","NULL","NULL"
"258","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废铅蓄电池","900-052-31","33.25","33.25","NULL","NULL"
"259","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","32.95","32.95","NULL","NULL"
"260","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.2","33.2","NULL","NULL"
"261","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.2","NULL","NULL","NULL"
"262","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.4","33.4","NULL","NULL"
"263","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","废铅酸蓄电池","900-052-31","33.5","33.5","NULL","NULL"
"264","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.85","33.85","NULL","NULL"
"265","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","32.7","32.7","NULL","NULL"
"266","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","废铅蓄电池","900-052-31","34.04","34.04","NULL","NULL"
"267","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废铅蓄电池","900-052-31","33.88","33.88","NULL","NULL"
"268","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","34.4","34.4","NULL","NULL"
"269","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废铅蓄电池","900-052-31","33.49","33.49","NULL","NULL"
"270","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废铅蓄电池","900-052-31","33.32","33.32","NULL","NULL"
"271","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","废铅酸蓄电池","900-052-31","35.15","35.15","NULL","NULL"
"272","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","32.25","32.25","NULL","NULL"
"273","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.25","33.25","NULL","NULL"
"274","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.05","33.05","NULL","NULL"
"275","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","废铅酸蓄电池","900-052-31","34.135","34.135","NULL","NULL"
"276","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","废铅酸蓄电池","900-052-31","33.505","33.505","NULL","NULL"
"277","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废铅蓄电池","900-052-31","33.69","33.69","NULL","NULL"
"278","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","32.4","32.4","NULL","NULL"
"279","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","废铅酸蓄电池","900-052-31","34.315","34.315","NULL","NULL"
"280","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","废铅酸蓄电池","900-052-31","34.56","34.56","NULL","NULL"
"281","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","废铅酸蓄电池","900-052-31","34.4","34.4","NULL","NULL"
"282","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.65","33.65","NULL","NULL"
"283","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","废旧铅酸蓄电池","900-052-31","14.885","14.885","NULL","NULL"
"284","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","废铅酸蓄电池","900-052-31","34.165","34.165","NULL","NULL"
"285","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.2","33.2","NULL","NULL"
"286","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.2","33.2","NULL","NULL"
"287","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.35","33.35","NULL","NULL"
"288","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","34.0","34.0","NULL","NULL"
"289","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","废铅酸蓄电池","900-052-31","34.06","34.06","NULL","NULL"
"290","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","废铅酸蓄电池","900-052-31","33.56","33.56","NULL","NULL"
"291","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.75","33.75","NULL","NULL"
"292","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.0","33.0","NULL","NULL"
"293","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.75","33.75","NULL","NULL"
"294","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","废铅酸蓄电池","900-052-31","34.28","34.28","NULL","NULL"
