entid,indName
038d7e4e9fb34d1c80b8769cd9b76daf,水泥制造
038ebccb64a447a88903575a8d0924e1,农林牧渔机械配件制造
039178b72a9b4c93a642a388785d1e99,其他采矿业
0392a40566754df6a4bd10ea302f269b,金属结构制造
039352d5f0ab4d09a67e73d636d6f5d5,包装装潢及其他印刷
0393d920c98c4a6f972fc1eaab653634,白酒制造
0395fef919ec4bbdacf861c3cd69ef49,玻璃纤维及制品制造
039937f982ca4a35810567f1d53a1019,气体压缩机械制造
039c2125eb3c49fe97af11eedec91265,橡胶板、管、带制造
039c99056ce04c69b5cf2b7aae8efa33,其他建筑材料制造
03a104ac1a2d49c882ce17babd9a3b14,本册印制
03a5930f7ea648e7b56e5ec18e64ee57,蔬菜加工
03a765f3a1cf4c289717d86569021369,塑料零件及其他塑料制品制造
03aba51e483e4f458645023a2343c7a9,其他未列明通用设备制造业
03b11d09e3f3488e94bd0ab334e3d50f,生物质能发电
03b34cad7175447991dab290243bb997,其他非金属矿物制品制造
03b5e3b4a3df4ec1a7bfc8725f03d084,其他医疗设备及器械制造
03b9efc0500942248ecb342c6b0cc6a1,模具制造
03b9ffd21fbb43639fd1e350de717eab,非金属废料和碎屑加工处理
03bd13f396fe45b9990ae1ea7f118519,再生橡胶制造
03c2a0d8304144a88aca5bc3473cfd8b,汽车修理与维护
03cc6b90cbb94a7fa96fda54124256f3,橡胶板、管、带制造
03ce0124bcac411eb03c71ac70affc2a,金属结构制造
03d136415919449bacd4fa0fa3edf508,黑色金属铸造
03d45e508a9b4612af05b4bc0fde02bc,环境卫生管理
03d554a30e474fc983a5fd5438c0d647,其他制鞋业
03d9e04291d94937bd7343963e95c592,防水建筑材料制造
03dce88dd1154ac4b09450cd804740de,蜜饯制作
03ddc57d945243feb1161d373d41458c,塑料薄膜制造
03ddd306cf784cfa90c6d6b4d6c8d1cb,包装装潢及其他印刷
03de34779f914ad2bca480801e7bbf52,海洋环境服务
03e1a9fabb3c4b6e8983bb7cdcd692c8,化学试剂和助剂制造
03e22174d3644766bef0b8ec510fd4f7,白酒制造
03e2627852dc4eff81bdd817bab49ecc,其他机械和设备修理业
03e44d2ead714115936b45234feb00fd,塑料零件及其他塑料制品制造
03e694f2b8a44c5b94fe0168fe6cb247,电线、电缆制造
03e7ffa33f9a4debbb0afaf7abe95bc2,纸和纸板容器制造
03e94ecf97c14a119a644f3461937921,塑料包装箱及容器制造
03ec8ce3df2e4291baf2fc5d16f5046a,铁矿采选
03f0135bf0d74e5780ba447637de58d8,其他体育场地设施管理
03f2335550d2401a8c1c4f635ac10692,其他调味品、发酵制品制造
03f2e46300c34c49a6033c30e5b85824,其他未列明金属制品制造
03fad338558749c79b671a193496fa0c,塑料薄膜制造
03fc7c055b9f4ce6b8fe2d113ca9c8d9,农林牧渔机械配件制造
03fdd78fb8ae421db994316f68505ea0,香料、香精制造
03fdf621bf4a4232a5b0f41746d31707,水泥制品制造
03fe0eb4063b453b941627a198a62cbf,综合医院
04028fab3ea043678ca5f63b69625f11,橡胶零件制造
0404439645ee4f3b951229c552b2c3fd,塑料零件及其他塑料制品制造
0408a29a41b24596871693ee041737d8,金属门窗制造
04098c2876c14872817563143b0bcd55,金属丝绳及其制品制造
040f4e96e92f41f7a745a675e4dd8ea1,轮胎制造
0412e7ca4075416199846011ee3cf527,包装装潢及其他印刷
0414170b753846caa041986d99395407,紧固件制造
0414a12ec105457e807001554ff51f1b,自然生态系统保护管理
04160f5639434a92a765a89cf3d99682,有机化学原料制造
0416e4052f664223aaabc1be05aa641f,纸和纸板容器制造
0418ad3d501943c69037e05dda69345f,塑料零件及其他塑料制品制造
0419a904ca71469f998516fe25b1f593,汽车零部件及配件制造
0424d4c8c8a8434996703be229df258f,塑料板、管、型材制造
